clientId,company,category,city,state,contactTitle,website,pitchAngle,source,seedFile
epa-1002821,High Sierra Limited,commercial_solar,Bakersfield,CA,Director of Facilities,,Power generation — 2022 EPA GHG Reporter. NAICS 221112. Pre-qualified high-energy solar candidate.,epa_ghgrp,seed-epa-facilities
epa-1002393,High-Purity Silicon America Corporation,commercial_solar,Theodore,AL,Director of Facilities,,Heavy manufacturing — 2022 EPA GHG Reporter. NAICS 331410. Pre-qualified high-energy solar candidate.,epa_ghgrp,seed-epa-facilities
epa-1006079,Highgrove Sanitary Landfill,commercial_solar,Highgrove,CA,Director of Facilities,,Industrial facility — 2022 EPA GHG Reporter. NAICS 562212. Pre-qualified high-energy solar candidate.,epa_ghgrp,seed-epa-facilities
epa-1010213,Highland,commercial_solar,Waverly,KY,Director of Facilities,,Industrial facility — 2022 EPA GHG Reporter. NAICS 212112. Pre-qualified high-energy solar candidate.,epa_ghgrp,seed-epa-facilities
epa-1010689,Highlands Fuel Delivery Llc,commercial_solar,Portsmouth,NH,Director of Facilities,,Industrial facility — 2022 EPA GHG Reporter. NAICS 424720. Pre-qualified high-energy solar candidate.,epa_ghgrp,seed-epa-facilities
epa-1014470,Highpeak Energy Holdings Llc,commercial_solar,Fort Worth,TX,Director of Facilities,,Industrial facility — 2022 EPA GHG Reporter. NAICS 211120. Pre-qualified high-energy solar candidate.,epa_ghgrp,seed-epa-facilities
epa-1009354,Highpoint Operating Corporation - Denver Basin (540),commercial_solar,Denver,CO,Director of Facilities,,Industrial facility — 2022 EPA GHG Reporter. NAICS 211120. Pre-qualified high-energy solar candidate.,epa_ghgrp,seed-epa-facilities
epa-1005586,Highwater Ethanol Llc,commercial_solar,Lamberton,MN,Director of Facilities,,Chemical manufacturing — 2022 EPA GHG Reporter. NAICS 325193. Pre-qualified high-energy solar candidate.,epa_ghgrp,seed-epa-facilities
epa-1005912,Highway 321 Lexington County Landfill,commercial_solar,West Columbia,SC,Director of Facilities,,Industrial facility — 2022 EPA GHG Reporter. NAICS 562212. Pre-qualified high-energy solar candidate.,epa_ghgrp,seed-epa-facilities
epa-1006216,Highway 59 Landfill,commercial_solar,Merced,CA,Director of Facilities,,Industrial facility — 2022 EPA GHG Reporter. NAICS 562212. Pre-qualified high-energy solar candidate.,epa_ghgrp,seed-epa-facilities
epa-1001696,Highwood Generating Station,commercial_solar,Great Falls,MT,Director of Facilities,,Power generation — 2022 EPA GHG Reporter. NAICS 221112. Pre-qualified high-energy solar candidate.,epa_ghgrp,seed-epa-facilities
epa-1009851,Hiland Partners Badlands Gas Plant,commercial_solar,Rhame,ND,Director of Facilities,,Industrial facility — 2022 EPA GHG Reporter. NAICS 211130. Pre-qualified high-energy solar candidate.,epa_ghgrp,seed-epa-facilities
epa-1011017,Hiland Partners Bakken Gathering Plant,commercial_solar,Sidney,MT,Director of Facilities,,Industrial facility — 2022 EPA GHG Reporter. NAICS 211130. Pre-qualified high-energy solar candidate.,epa_ghgrp,seed-epa-facilities
epa-1013370,Hiland Partners Burr Mru,commercial_solar,New Town,ND,Director of Facilities,,Industrial facility — 2022 EPA GHG Reporter. NAICS 211130. Pre-qualified high-energy solar candidate.,epa_ghgrp,seed-epa-facilities
epa-1012184,Hiland Partners Holdings Llc 395 Williston Basin,commercial_solar,Houston,TX,Director of Facilities,,Industrial facility — 2022 EPA GHG Reporter. NAICS 211130. Pre-qualified high-energy solar candidate.,epa_ghgrp,seed-epa-facilities
epa-1010509,Hiland Partners Norse Gas Plant,commercial_solar,Mcgregor,ND,Director of Facilities,,Industrial facility — 2022 EPA GHG Reporter. NAICS 211130. Pre-qualified high-energy solar candidate.,epa_ghgrp,seed-epa-facilities
epa-1012297,"Hiland Partners Roosevelt Gas Plant Watford City, Nd",commercial_solar,Watford City,ND,Director of Facilities,,Industrial facility — 2022 EPA GHG Reporter. NAICS 211130. Pre-qualified high-energy solar candidate.,epa_ghgrp,seed-epa-facilities
epa-1010510,Hiland Partners Watford City Gas Plant,commercial_solar,Alexander,ND,Director of Facilities,,Industrial facility — 2022 EPA GHG Reporter. NAICS 211130. Pre-qualified high-energy solar candidate.,epa_ghgrp,seed-epa-facilities
epa-1009332,"Hilcorp Alaska, Llc 820 Kenai",commercial_solar,Anchorage,AK,Director of Facilities,,Industrial facility — 2022 EPA GHG Reporter. NAICS 211130. Pre-qualified high-energy solar candidate.,epa_ghgrp,seed-epa-facilities
epa-1012165,"Hilcorp Alaska, Llc 820 Kenai G&B",commercial_solar,Kenai,AK,Director of Facilities,,Industrial facility — 2022 EPA GHG Reporter. NAICS 211120. Pre-qualified high-energy solar candidate.,epa_ghgrp,seed-epa-facilities
epa-1011782,"Hilcorp Alaska, Llc 890 Arctic Slope Basin",commercial_solar,Prudhoe Bay,AK,Director of Facilities,,Industrial facility — 2022 EPA GHG Reporter. NAICS 211120. Pre-qualified high-energy solar candidate.,epa_ghgrp,seed-epa-facilities
epa-1012164,"Hilcorp Alaska, Llc 890 Basin, G&B",commercial_solar,Prudhoe Bay,AK,Director of Facilities,,Industrial facility — 2022 EPA GHG Reporter. NAICS 211120. Pre-qualified high-energy solar candidate.,epa_ghgrp,seed-epa-facilities
epa-1002805,"Hilcorp Alaska, Llc Kenai Gas Field Pad 14-6",commercial_solar,Kenai,AK,Director of Facilities,,Industrial facility — 2022 EPA GHG Reporter. NAICS 211111. Pre-qualified high-energy solar candidate.,epa_ghgrp,seed-epa-facilities
epa-1011995,Hilcorp Appalachian Basin (Eastern Overthrust Area),commercial_solar,Houston,TX,Director of Facilities,,Industrial facility — 2022 EPA GHG Reporter. NAICS 211120. Pre-qualified high-energy solar candidate.,epa_ghgrp,seed-epa-facilities
epa-1013111,Hilcorp Energy Company - Central Overthrust Basin (507),commercial_solar,Houston,TX,Director of Facilities,,Industrial facility — 2022 EPA GHG Reporter. NAICS 211130. Pre-qualified high-energy solar candidate.,epa_ghgrp,seed-epa-facilities
epa-1012706,Hilcorp Energy Company - Green River Basin (535),commercial_solar,Houston,TX,Director of Facilities,,Industrial facility — 2022 EPA GHG Reporter. NAICS 211130. Pre-qualified high-energy solar candidate.,epa_ghgrp,seed-epa-facilities
epa-1012722,Hilcorp Energy Company - Gulf Coast Basin (220) Gathering & Boosting,commercial_solar,Houston,TX,Director of Facilities,,Industrial facility — 2022 EPA GHG Reporter. NAICS 211120. Pre-qualified high-energy solar candidate.,epa_ghgrp,seed-epa-facilities
epa-1012612,Hilcorp Energy Company - Wind River Basin (530),commercial_solar,Houston,TX,Director of Facilities,,Industrial facility — 2022 EPA GHG Reporter. NAICS 211130. Pre-qualified high-energy solar candidate.,epa_ghgrp,seed-epa-facilities
epa-1013991,Hilcorp Energy Company - Wind River Basin (530) Gathering & Boosting,commercial_solar,Houston,TX,Director of Facilities,,Industrial facility — 2022 EPA GHG Reporter. NAICS 211120. Pre-qualified high-energy solar candidate.,epa_ghgrp,seed-epa-facilities
epa-1008172,"Hilcorp North Slope, 890 - Arctic Slope Basin",commercial_solar,Prudhoe Bay,AK,Director of Facilities,,Industrial facility — 2022 EPA GHG Reporter. NAICS 211120. Pre-qualified high-energy solar candidate.,epa_ghgrp,seed-epa-facilities
epa-1012135,"Hilcorp North Slope, Basin 890-G&B Facility",commercial_solar,Prudhoe Bay,AK,Director of Facilities,,Industrial facility — 2022 EPA GHG Reporter. NAICS 211120. Pre-qualified high-energy solar candidate.,epa_ghgrp,seed-epa-facilities
epa-1013335,Hildreth,commercial_solar,O'Brien,FL,Director of Facilities,,Industrial facility — 2022 EPA GHG Reporter. NAICS 486210. Pre-qualified high-energy solar candidate.,epa_ghgrp,seed-epa-facilities
epa-1001790,Hilight-Reno Junction Gas Plant,commercial_solar,Gillette,WY,Director of Facilities,,Industrial facility — 2022 EPA GHG Reporter. NAICS 211130. Pre-qualified high-energy solar candidate.,epa_ghgrp,seed-epa-facilities
epa-1001736,Hill Air Force Base: Main Base,commercial_solar,Hill Air Force Base,UT,Director of Facilities,,Industrial facility — 2022 EPA GHG Reporter. NAICS 928110. Pre-qualified high-energy solar candidate.,epa_ghgrp,seed-epa-facilities
epa-1003539,"Hill Lake Gas Storage, Llc",commercial_solar,Moran,TX,Director of Facilities,,Industrial facility — 2022 EPA GHG Reporter. NAICS 486210. Pre-qualified high-energy solar candidate.,epa_ghgrp,seed-epa-facilities
epa-1014275,Hill Top Energy Center Llc,commercial_solar,Carmichaels,PA,Director of Facilities,,Power generation — 2022 EPA GHG Reporter. NAICS 221112. Pre-qualified high-energy solar candidate.,epa_ghgrp,seed-epa-facilities
epa-1000813,Hillabee Energy Center,commercial_solar,Alexander City,AL,Director of Facilities,,Power generation — 2022 EPA GHG Reporter. NAICS 221112. Pre-qualified high-energy solar candidate.,epa_ghgrp,seed-epa-facilities
epa-1007157,Hillburn Gas Turbine,commercial_solar,Hillburn,NY,Director of Facilities,,Power generation — 2022 EPA GHG Reporter. NAICS 221112. Pre-qualified high-energy solar candidate.,epa_ghgrp,seed-epa-facilities
epa-1006194,Hillman Power Company,commercial_solar,Hillman,MI,Director of Facilities,,Power generation — 2022 EPA GHG Reporter. NAICS 221117. Pre-qualified high-energy solar candidate.,epa_ghgrp,seed-epa-facilities
epa-1010156,Hillphoenix Inc.,commercial_solar,Conyers,GA,Director of Facilities,,Heavy manufacturing — 2022 EPA GHG Reporter. NAICS 333415. Pre-qualified high-energy solar candidate.,epa_ghgrp,seed-epa-facilities
epa-1005920,Hillsborough County Resource Recovery Facility,commercial_solar,Tampa,FL,Director of Facilities,,Industrial facility — 2022 EPA GHG Reporter. NAICS 562213. Pre-qualified high-energy solar candidate.,epa_ghgrp,seed-epa-facilities
epa-1004278,Hillsborough Heights Lf,commercial_solar,Seffner,FL,Director of Facilities,,Industrial facility — 2022 EPA GHG Reporter. NAICS 562212. Pre-qualified high-energy solar candidate.,epa_ghgrp,seed-epa-facilities
epa-1003614,Hillside Landfill,commercial_solar,Sherman,TX,Director of Facilities,,Industrial facility — 2022 EPA GHG Reporter. NAICS 562212. Pre-qualified high-energy solar candidate.,epa_ghgrp,seed-epa-facilities
epa-1007545,Hilltop Compressor Station,commercial_solar,Clinton,AR,Director of Facilities,,Industrial facility — 2022 EPA GHG Reporter. NAICS 211111. Pre-qualified high-energy solar candidate.,epa_ghgrp,seed-epa-facilities
epa-1001735,Hilmar Cheese Company,commercial_solar,Hilmar,CA,Director of Facilities,,Food manufacturing — 2022 EPA GHG Reporter. NAICS 311513. Pre-qualified high-energy solar candidate.,epa_ghgrp,seed-epa-facilities
epa-1011783,Hilmar Cheese Company Dalhart,commercial_solar,Dalhart,TX,Director of Facilities,,Food manufacturing — 2022 EPA GHG Reporter. NAICS 311513. Pre-qualified high-energy solar candidate.,epa_ghgrp,seed-epa-facilities
epa-1001367,Hinds Energy Facility,commercial_solar,Jackson,MS,Director of Facilities,,Power generation — 2022 EPA GHG Reporter. NAICS 221112. Pre-qualified high-energy solar candidate.,epa_ghgrp,seed-epa-facilities
epa-1001112,Hines Energy Complex,commercial_solar,Bartow,FL,Director of Facilities,,Power generation — 2022 EPA GHG Reporter. NAICS 221112. Pre-qualified high-energy solar candidate.,epa_ghgrp,seed-epa-facilities
epa-1013026,Hinkle Oil & Gas Inc.,commercial_solar,Oklahoma City,OK,Director of Facilities,,Industrial facility — 2022 EPA GHG Reporter. NAICS 211130. Pre-qualified high-energy solar candidate.,epa_ghgrp,seed-epa-facilities
epa-1011205,Hirkey Compressor Station,commercial_solar,Tunkhannock,PA,Director of Facilities,,Industrial facility — 2022 EPA GHG Reporter. NAICS 211111. Pre-qualified high-energy solar candidate.,epa_ghgrp,seed-epa-facilities
epa-1006009,"Hitachi Energy Usa, Inc.",commercial_solar,Mt. Pleasant,PA,Director of Facilities,,Heavy manufacturing — 2022 EPA GHG Reporter. NAICS 335313. Pre-qualified high-energy solar candidate.,epa_ghgrp,seed-epa-facilities
epa-1006234,Hm Cement Southeast Llc,commercial_solar,Leeds,AL,Director of Facilities,,Cement / glass — 2022 EPA GHG Reporter. NAICS 327310. Pre-qualified high-energy solar candidate.,epa_ghgrp,seed-epa-facilities
epa-1005620,Hmp&L Station 2,commercial_solar,Sebree,KY,Director of Facilities,,Power generation — 2022 EPA GHG Reporter. NAICS 221112. Pre-qualified high-energy solar candidate.,epa_ghgrp,seed-epa-facilities
epa-1014433,"Ho Clarke Generating, Llc",commercial_solar,Houston,TX,Director of Facilities,,Power generation — 2022 EPA GHG Reporter. NAICS 221112. Pre-qualified high-energy solar candidate.,epa_ghgrp,seed-epa-facilities
epa-1003078,Hobart 277 Cryogenic Plant,commercial_solar,Canadian,TX,Director of Facilities,,Industrial facility — 2022 EPA GHG Reporter. NAICS 211130. Pre-qualified high-energy solar candidate.,epa_ghgrp,seed-epa-facilities
epa-1002952,Hobart Plant,commercial_solar,Canadian,TX,Director of Facilities,,Industrial facility — 2022 EPA GHG Reporter. NAICS 211130. Pre-qualified high-energy solar candidate.,epa_ghgrp,seed-epa-facilities
epa-1004624,Hobart Ranch Gas Plant,commercial_solar,Canadian,TX,Director of Facilities,,Industrial facility — 2022 EPA GHG Reporter. NAICS 211111. Pre-qualified high-energy solar candidate.,epa_ghgrp,seed-epa-facilities
epa-1009647,Hobbs / Seminole / Wcf,commercial_solar,Seminole,TX,Director of Facilities,,Industrial facility — 2022 EPA GHG Reporter. NAICS 211120. Pre-qualified high-energy solar candidate.,epa_ghgrp,seed-epa-facilities
epa-1012121,Hobbs Field,commercial_solar,Hobbs,NM,Director of Facilities,,Industrial facility — 2022 EPA GHG Reporter. NAICS 211120. Pre-qualified high-energy solar candidate.,epa_ghgrp,seed-epa-facilities
epa-1009520,Hobbs Fractionation Facility,commercial_solar,Seminole,TX,Director of Facilities,,Industrial facility — 2022 EPA GHG Reporter. NAICS 211130. Pre-qualified high-energy solar candidate.,epa_ghgrp,seed-epa-facilities
epa-1007328,Hobbs Generating Station,commercial_solar,Hobbs,NM,Director of Facilities,,Power generation — 2022 EPA GHG Reporter. NAICS 221112. Pre-qualified high-energy solar candidate.,epa_ghgrp,seed-epa-facilities
epa-1005515,Hoeganaes Corporation,commercial_solar,Gallatin,TN,Director of Facilities,,Heavy manufacturing — 2022 EPA GHG Reporter. NAICS 331110. Pre-qualified high-energy solar candidate.,epa_ghgrp,seed-epa-facilities
epa-1002581,Hoffman Road Sanitary Landfill,commercial_solar,Toledo,OH,Director of Facilities,,Industrial facility — 2022 EPA GHG Reporter. NAICS 562212. Pre-qualified high-energy solar candidate.,epa_ghgrp,seed-epa-facilities
epa-1000398,Hog Bayou Energy Center,commercial_solar,Mobile,AL,Director of Facilities,,Power generation — 2022 EPA GHG Reporter. NAICS 221112. Pre-qualified high-energy solar candidate.,epa_ghgrp,seed-epa-facilities
epa-1006385,Holbrook,commercial_solar,Wind Ridge,PA,Director of Facilities,,Industrial facility — 2022 EPA GHG Reporter. NAICS 486210. Pre-qualified high-energy solar candidate.,epa_ghgrp,seed-epa-facilities
epa-1013953,Holbrook Compressor Station,commercial_solar,Sulphur,LA,Director of Facilities,,Industrial facility — 2022 EPA GHG Reporter. NAICS 486210. Pre-qualified high-energy solar candidate.,epa_ghgrp,seed-epa-facilities
epa-1002055,Holcim (Us) Inc,commercial_solar,Midlothian,TX,Director of Facilities,,Cement / glass — 2022 EPA GHG Reporter. NAICS 327310. Pre-qualified high-energy solar candidate.,epa_ghgrp,seed-epa-facilities
epa-1004810,Holcim (Us) Inc,commercial_solar,Theodore,AL,Director of Facilities,,Cement / glass — 2022 EPA GHG Reporter. NAICS 327310. Pre-qualified high-energy solar candidate.,epa_ghgrp,seed-epa-facilities
epa-1000243,Holcim (Us) Inc Joppa Plant,commercial_solar,Grand Chain,IL,Director of Facilities,,Cement / glass — 2022 EPA GHG Reporter. NAICS 327310. Pre-qualified high-energy solar candidate.,epa_ghgrp,seed-epa-facilities
epa-1007563,Holcim (Us) Inc Ste Genevieve Plant,commercial_solar,Bloomsdale,MO,Director of Facilities,,Cement / glass — 2022 EPA GHG Reporter. NAICS 327310. Pre-qualified high-energy solar candidate.,epa_ghgrp,seed-epa-facilities
epa-1006815,Holcim (Us) Inc.,commercial_solar,Holly Hill,SC,Director of Facilities,,Cement / glass — 2022 EPA GHG Reporter. NAICS 327310. Pre-qualified high-energy solar candidate.,epa_ghgrp,seed-epa-facilities
epa-1003008,Holcim (Us) Inc. - Portland Plant,commercial_solar,Florence,CO,Director of Facilities,,Cement / glass — 2022 EPA GHG Reporter. NAICS 327310. Pre-qualified high-energy solar candidate.,epa_ghgrp,seed-epa-facilities
epa-1005874,Holcim (Us) Inc. D/B/A Lafarge Alpena,commercial_solar,Alpena,MI,Director of Facilities,,Cement / glass — 2022 EPA GHG Reporter. NAICS 327310. Pre-qualified high-energy solar candidate.,epa_ghgrp,seed-epa-facilities
epa-1004131,Holcim (Us) Inc. Devil\S Slide Plant,commercial_solar,Morgan,UT,Director of Facilities,,Cement / glass — 2022 EPA GHG Reporter. NAICS 327310. Pre-qualified high-energy solar candidate.,epa_ghgrp,seed-epa-facilities
epa-1004078,"Holcim (Us), Inc.",commercial_solar,Hagerstown,MD,Director of Facilities,,Cement / glass — 2022 EPA GHG Reporter. NAICS 327310. Pre-qualified high-energy solar candidate.,epa_ghgrp,seed-epa-facilities
epa-1002204,Holcim Incorporated,commercial_solar,Ada,OK,Director of Facilities,,Cement / glass — 2022 EPA GHG Reporter. NAICS 327310. Pre-qualified high-energy solar candidate.,epa_ghgrp,seed-epa-facilities
epa-1007766,Holcim Us - Paulding Plant (Including Systech Env Corp),commercial_solar,Paulding,OH,Director of Facilities,,Cement / glass — 2022 EPA GHG Reporter. NAICS 327310. Pre-qualified high-energy solar candidate.,epa_ghgrp,seed-epa-facilities
epa-1000307,Holcim Us Inc,commercial_solar,Catskill,NY,Director of Facilities,,Cement / glass — 2022 EPA GHG Reporter. NAICS 327310. Pre-qualified high-energy solar candidate.,epa_ghgrp,seed-epa-facilities
epa-1001420,Holcomb,commercial_solar,Holcomb,KS,Director of Facilities,,Power generation — 2022 EPA GHG Reporter. NAICS 221112. Pre-qualified high-energy solar candidate.,epa_ghgrp,seed-epa-facilities
epa-1007746,Holden Power Plant,commercial_solar,Holden,MO,Director of Facilities,,Power generation — 2022 EPA GHG Reporter. NAICS 221112. Pre-qualified high-energy solar candidate.,epa_ghgrp,seed-epa-facilities
epa-1000792,Holland Energy Facility,commercial_solar,Beecher City,IL,Director of Facilities,,Power generation — 2022 EPA GHG Reporter. NAICS 221112. Pre-qualified high-energy solar candidate.,epa_ghgrp,seed-epa-facilities
epa-1013054,Holland Energy Park,commercial_solar,Holland,MI,Director of Facilities,,Power generation — 2022 EPA GHG Reporter. NAICS 221112. Pre-qualified high-energy solar candidate.,epa_ghgrp,seed-epa-facilities
epa-1013333,Hollingsworth & Vose,commercial_solar,Hawkinsville,GA,Director of Facilities,,Industrial facility — 2022 EPA GHG Reporter. NAICS 423990. Pre-qualified high-energy solar candidate.,epa_ghgrp,seed-epa-facilities
epa-1007089,Hollingsworth & Vose Fiber Company,commercial_solar,Corvallis,OR,Director of Facilities,,Cement / glass — 2022 EPA GHG Reporter. NAICS 327993. Pre-qualified high-energy solar candidate.,epa_ghgrp,seed-epa-facilities
epa-1003090,Holly Beach Compressor Station #701,commercial_solar,Cameron,LA,Director of Facilities,,Industrial facility — 2022 EPA GHG Reporter. NAICS 486210. Pre-qualified high-energy solar candidate.,epa_ghgrp,seed-epa-facilities
epa-1005864,Holly Sugar Corp Dba Spreckels Company,commercial_solar,Brawley,CA,Director of Facilities,,Food manufacturing — 2022 EPA GHG Reporter. NAICS 311313. Pre-qualified high-energy solar candidate.,epa_ghgrp,seed-epa-facilities
epa-1007922,Hollyfrontier Cheyenne Refining Llc,commercial_solar,Cheyenne,WY,Director of Facilities,,Petroleum refining — 2022 EPA GHG Reporter. NAICS 324110. Pre-qualified high-energy solar candidate.,epa_ghgrp,seed-epa-facilities
epa-1005769,Hollyfrontier Woods Cross Refining Llc,commercial_solar,West Bountiful,UT,Director of Facilities,,Petroleum refining — 2022 EPA GHG Reporter. NAICS 324110. Pre-qualified high-energy solar candidate.,epa_ghgrp,seed-epa-facilities
epa-1003252,Holmes Mesa Cmp Stn,commercial_solar,Rulison,CO,Director of Facilities,,Industrial facility — 2022 EPA GHG Reporter. NAICS 211111. Pre-qualified high-energy solar candidate.,epa_ghgrp,seed-epa-facilities
epa-1011673,Holmes Western Oil Corporation,commercial_solar,Taft,CA,Director of Facilities,,Industrial facility — 2022 EPA GHG Reporter. NAICS 211120. Pre-qualified high-energy solar candidate.,epa_ghgrp,seed-epa-facilities
epa-1003552,"Holstein, Mms Platform Id 02481, Complex Id 1035-1",commercial_solar,Offshore,LA,Director of Facilities,,Industrial facility — 2022 EPA GHG Reporter. NAICS 211120. Pre-qualified high-energy solar candidate.,epa_ghgrp,seed-epa-facilities
epa-1004720,Holston Army Ammunition Plant (Hsaap),commercial_solar,Kingsport,TN,Director of Facilities,,Chemical manufacturing — 2022 EPA GHG Reporter. NAICS 325920. Pre-qualified high-energy solar candidate.,epa_ghgrp,seed-epa-facilities
epa-1001183,Holtsville Facility,commercial_solar,Holtsville,NY,Director of Facilities,,Power generation — 2022 EPA GHG Reporter. NAICS 221112. Pre-qualified high-energy solar candidate.,epa_ghgrp,seed-epa-facilities
epa-1003368,Holyoke Gas & Electric,commercial_solar,Holyoke,MA,Director of Facilities,,Power generation — 2022 EPA GHG Reporter. NAICS 221122. Pre-qualified high-energy solar candidate.,epa_ghgrp,seed-epa-facilities
epa-1006141,Homeland Energy Solutions Llc,commercial_solar,Lawler,IA,Director of Facilities,,Chemical manufacturing — 2022 EPA GHG Reporter. NAICS 325193. Pre-qualified high-energy solar candidate.,epa_ghgrp,seed-epa-facilities
epa-1006728,Homer City,commercial_solar,Homer City,PA,Director of Facilities,,Power generation — 2022 EPA GHG Reporter. NAICS 221112. Pre-qualified high-energy solar candidate.,epa_ghgrp,seed-epa-facilities
epa-1001841,"Honda Development & Manufacturing Of America, Llc",commercial_solar,Marysville,OH,Director of Facilities,,Heavy manufacturing — 2022 EPA GHG Reporter. NAICS 336110. Pre-qualified high-energy solar candidate.,epa_ghgrp,seed-epa-facilities
epa-1011124,"Honda Development & Manufacturing Of America, Llc - Indiana Auto Plant",commercial_solar,Greensburg,IN,Director of Facilities,,Heavy manufacturing — 2022 EPA GHG Reporter. NAICS 336110. Pre-qualified high-energy solar candidate.,epa_ghgrp,seed-epa-facilities
epa-1001842,Honda Development And Manufacturing Of America *,commercial_solar,Anna,OH,Director of Facilities,,Heavy manufacturing — 2022 EPA GHG Reporter. NAICS 336310. Pre-qualified high-energy solar candidate.,epa_ghgrp,seed-epa-facilities
epa-1005341,Honda Manufacturing Of Alabama Llc,commercial_solar,Lincoln,AL,Director of Facilities,,Heavy manufacturing — 2022 EPA GHG Reporter. NAICS 336110. Pre-qualified high-energy solar candidate.,epa_ghgrp,seed-epa-facilities
epa-1000628,Honeywell - Uop Llc,commercial_solar,Chickasaw,AL,Director of Facilities,,Chemical manufacturing — 2022 EPA GHG Reporter. NAICS 325180. Pre-qualified high-energy solar candidate.,epa_ghgrp,seed-epa-facilities
epa-1010241,Honeywell Aerospace - Plymouth,commercial_solar,Plymouth,MN,Director of Facilities,,Heavy manufacturing — 2022 EPA GHG Reporter. NAICS 334413. Pre-qualified high-energy solar candidate.,epa_ghgrp,seed-epa-facilities
epa-1011787,Honeywell Aerospace - South Bend,commercial_solar,South Bend,IN,Director of Facilities,,Heavy manufacturing — 2022 EPA GHG Reporter. NAICS 336413. Pre-qualified high-energy solar candidate.,epa_ghgrp,seed-epa-facilities
epa-1003222,Honeywell International,commercial_solar,Charlotte,NC,Director of Facilities,,Chemical manufacturing — 2022 EPA GHG Reporter. NAICS 325120. Pre-qualified high-energy solar candidate.,epa_ghgrp,seed-epa-facilities
epa-1000626,Honeywell International Buffalo Research Labs,commercial_solar,Buffalo,NY,Director of Facilities,,Chemical manufacturing — 2022 EPA GHG Reporter. NAICS 325120. Pre-qualified high-energy solar candidate.,epa_ghgrp,seed-epa-facilities
epa-1000631,Honeywell International Inc,commercial_solar,Metropolis,IL,Director of Facilities,,Chemical manufacturing — 2022 EPA GHG Reporter. NAICS 325180. Pre-qualified high-energy solar candidate.,epa_ghgrp,seed-epa-facilities
epa-1000625,Honeywell International Inc - Baton Rouge Plant,commercial_solar,Baton Rouge,LA,Director of Facilities,,Chemical manufacturing — 2022 EPA GHG Reporter. NAICS 325120. Pre-qualified high-energy solar candidate.,epa_ghgrp,seed-epa-facilities
epa-1006070,Honeywell International Inc - Geismar Complex,commercial_solar,Geismar,LA,Director of Facilities,,Chemical manufacturing — 2022 EPA GHG Reporter. NAICS 325120. Pre-qualified high-energy solar candidate.,epa_ghgrp,seed-epa-facilities
epa-1007176,Hood Container Corporation,commercial_solar,Waverly,TN,Director of Facilities,,Pulp & paper — 2022 EPA GHG Reporter. NAICS 322130. Pre-qualified high-energy solar candidate.,epa_ghgrp,seed-epa-facilities
epa-1002846,"Hood Container Of Louisiana, Llc",commercial_solar,Saint Francisville,LA,Director of Facilities,,Pulp & paper — 2022 EPA GHG Reporter. NAICS 322130. Pre-qualified high-energy solar candidate.,epa_ghgrp,seed-epa-facilities
epa-1000119,Hoosier Energy Lawrence Co Station,commercial_solar,Mitchell,IN,Director of Facilities,,Power generation — 2022 EPA GHG Reporter. NAICS 221112. Pre-qualified high-energy solar candidate.,epa_ghgrp,seed-epa-facilities
epa-1007983,Hoosier Landfill,commercial_solar,Claypool,IN,Director of Facilities,,Industrial facility — 2022 EPA GHG Reporter. NAICS 562212. Pre-qualified high-energy solar candidate.,epa_ghgrp,seed-epa-facilities
epa-1000694,Hoot Lake,commercial_solar,Fergus Falls,MN,Director of Facilities,,Power generation — 2022 EPA GHG Reporter. NAICS 221112. Pre-qualified high-energy solar candidate.,epa_ghgrp,seed-epa-facilities
epa-1003267,Hoover Diana Platform (Ac25-Ha),commercial_solar,Offshore,TX,Director of Facilities,,Industrial facility — 2022 EPA GHG Reporter. NAICS 211130. Pre-qualified high-energy solar candidate.,epa_ghgrp,seed-epa-facilities
epa-1004706,"Hope Gas, Inc.",commercial_solar,Jane Lew,WV,Director of Facilities,,Power generation — 2022 EPA GHG Reporter. NAICS 221210. Pre-qualified high-energy solar candidate.,epa_ghgrp,seed-epa-facilities
epa-1010771,Hopedale Fractionation Facility,commercial_solar,Jewett,OH,Director of Facilities,,Industrial facility — 2022 EPA GHG Reporter. NAICS 211130. Pre-qualified high-energy solar candidate.,epa_ghgrp,seed-epa-facilities
epa-1010953,Hopeton Gas Plant,commercial_solar,Dacoma,OK,Director of Facilities,,Industrial facility — 2022 EPA GHG Reporter. NAICS 486210. Pre-qualified high-energy solar candidate.,epa_ghgrp,seed-epa-facilities
epa-1000318,Hopewell Energy Facility,commercial_solar,Hopewell,VA,Director of Facilities,,Power generation — 2022 EPA GHG Reporter. NAICS 221112. Pre-qualified high-energy solar candidate.,epa_ghgrp,seed-epa-facilities
epa-1001228,Hopewell Power Station,commercial_solar,Hopewell,VA,Director of Facilities,,Power generation — 2022 EPA GHG Reporter. NAICS 221119. Pre-qualified high-energy solar candidate.,epa_ghgrp,seed-epa-facilities
epa-1003283,Hopkins Co Regional Landfill - Bituminou,commercial_solar,White Plains,KY,Director of Facilities,,Industrial facility — 2022 EPA GHG Reporter. NAICS 562212. Pre-qualified high-energy solar candidate.,epa_ghgrp,seed-epa-facilities
epa-1010063,"Hopkins County Coal, Llc",commercial_solar,Madisonville,KY,Director of Facilities,,Industrial facility — 2022 EPA GHG Reporter. NAICS 212112. Pre-qualified high-energy solar candidate.,epa_ghgrp,seed-epa-facilities
